Celina,St. Marys,Wapak,Minster,Lima,Sidney,Coldwater
"https://www.google.com/search?q=gas+price+45822&rlz=1C1VDKB_enUS990US990&biw=1920&bih=937&tbm=lcl&sxsrf=ALiCzsavdTdB3meJHrnwre3Ki1nWNyaBOQ%3A1670123059710&ei=Mw6MY_CCK-qiptQPhuGBmAI&ved=0ahUKEwiw6NGd_d77AhVqkYkEHYZwACMQ4dUDCAk&uact=5&oq=gas+price+45822&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBggAEBYQHjIFCAAQhgMyBQgAEIYDMgUIABCGAzIFCAAQhgMyBQgAEIYDOgQIIxAnUKcFWKcFYIEIaAFwAHgAgAF3iAHSAZIBAzEuMZgBAKABAqABAcABAQ&sclient=gws-wiz-local#rlfi=hd:;si:;mv:[[40.57169126903729,-84.49673550254913],[40.520688287978004,-84.62548153526397],null,[40.54619463347503,-84.56110851890655],14]","https://www.google.com/search?q=gas+price+45885&rlz=1C1VDKB_enUS990US990&biw=1920&bih=937&tbm=lcl&sxsrf=ALiCzsY-Ypxnr674FXsCRFREzMjtAm_spg%3A1670123430834&ei=pg-MY_XNMtixptQPyOOdiA0&ved=0ahUKEwj1uM3O_t77AhXYmIkEHchxB9EQ4dUDCAk&uact=5&oq=gas+price+45885&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBggAEBYQHjIFCAAQhgMyBQgAEIYDMgUIABCGAzoECCMQJzoHCAAQgAQQCjoKCAAQgAQQhwIQFDoFCAAQgAQ6CAgAEBYQHhAPOggIABAWEB4QClD0BVirC2D7DGgBcAB4AIABfYgBrwSSAQM1LjGYAQCgAQHAAQE&sclient=gws-wiz-local#rlfi=hd:;si:;mv:[[40.5552158,-84.3699073],[40.5407951,-84.4174194]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:3","https://www.google.com/search?q=gas+price+45895&rlz=1C1VDKB_enUS990US990&biw=1920&bih=937&tbm=lcl&sxsrf=ALiCzsYFlmeS_F2ZrL49twCmsUHcnVKYoQ%3A1670123399618&ei=hw-MY9apJZ2hptQPzOqT4Ag&ved=0ahUKEwiWidy__t77AhWdkIkEHUz1BIwQ4dUDCAk&uact=5&oq=gas+price+45895&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyCAgAEBYQHhAKMggIABAWEB4QDzIFCAAQhgMyBQgAEIYDMgUIABCGAzIFCAAQhgNQAFgAYIcHaABwAHgAgAGAAYgBgAGSAQMwLjGYAQDAAQE&sclient=gws-wiz-local#rlfi=hd:;si:;mv:[[40.6604311,-84.1290855],[40.556236399999996,-84.2108684]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:3","https://www.google.com/search?q=gas+price+45865&rlz=1C1VDKB_enUS990US990&biw=1920&bih=937&tbm=lcl&sxsrf=ALiCzsY1b4nN9yWQr6YW8yuhIedMeQ0bMQ%3A1670123509099&ei=9Q-MY7O-BYDJptQP8MaWmA8&ved=0ahUKEwjzjPbz_t77AhWApIkEHXCjBfMQ4dUDCAk&uact=5&oq=gas+price+45865&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECdQAFgAYPwBaABwAHgAgAF5iAF5kgEDMC4xmAEAwAEB&sclient=gws-wiz-local#rlfi=hd:;si:;mv:[[40.6759949,-84.1066201],[40.2662152,-84.6077574]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:3","https://www.google.com/search?q=gas+price+45805&rlz=1C1VDKB_enUS990US990&biw=1920&bih=937&tbm=lcl&sxsrf=ALiCzsa4eUKLXrsWhv82sAfNbmQYS3jNqA%3A1670123406017&ei=jg-MY4xN96Gm1A-g0L-4DQ&ved=0ahUKEwiMzOLC_t77AhX3kIkEHSDoD9cQ4dUDCAk&uact=5&oq=gas+price+45805&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBwgAEB4QogQyBwgAEB4QogQyBQgAEKIEMgcIABAeEKIEOgQIIxAnOggIABAWEB4QCjoICAAQFhAeEA86BQgAEIYDUPACWPACYN4EaAFwAHgAgAFqiAG-AZIBAzEuMZgBAKABAqABAcABAQ&sclient=gws-wiz-local#rlfi=hd:;si:;mv:[[40.794869399999996,-84.0324073],[40.6809412,-84.17280439999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:3","https://www.google.com/search?q=gas+price+45365&rlz=1C1VDKB_enUS990US990&biw=1920&bih=937&tbm=lcl&sxsrf=ALiCzsYp5RiDw9HykXJzE_9CptCWV0mIiQ%3A1670123738970&ei=2hCMY8DmOpCtptQPgYqHgAQ&ved=0ahUKEwjAu8Th_977AhWQlokEHQHFAUAQ4dUDCAk&oq=gas+price+45365&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAxQAFgAYABoAHAAeACAAQCIAQCSAQCYAQA&sclient=gws-wiz-local#rlfi=hd:;si:;mv:[[40.3199701,-84.1358719],[40.262792999999995,-84.1953708]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:3","https://www.google.com/search?q=gas+price+45828&rlz=1C1VDKB_enUS990US990&biw=1920&bih=937&tbm=lcl&sxsrf=ALiCzsY2XZLeJUNu359lEu3jb1OKOTRcaA%3A1670125584917&ei=EBiMY-bHN7GrptQPhbGRyAI&ved=0ahUKEwjmj-DRht_7AhWxlYkEHYVYBCkQ4dUDCAk&uact=5&oq=gas+price+45828&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECdQAFgAYMgDaABwAHgAgAFyiAFykgEDMC4xmAEAwAEB&sclient=gws-wiz-local#rlfi=hd:;si:;mv:[[40.5037517915778,-84.49081254170393],[40.40160356780691,-84.74830460713362],null,[40.45269708952069,-84.61955857441878],13]"
586,394,738,628,224,439,678
,,,,645,494,
,,,,647,492,
,,,,331,498,
,,,,222,497,
,,,,225,371,
,,,,991,,
,,,,229,,
,,,,228,,
,,,,227,,